file,spectral_entropy_mean_bits_overall,spectral_entropy_h1_top,spectral_entropy_h2,spectral_entropy_h3,spectral_entropy_h4_bottom,spectral_entropy_v1_left,spectral_entropy_v2_right,height,width
./spectrograms/20_song\image23.png,6.992378025940266,4.986879906390662,4.994343392883938,4.997479932442316,4.99542567625776,6.992042508451993,6.99271354342854,128,472
./spectrograms/20_song\image24.png,6.9926707779674615,4.994934254494203,4.995397261376317,4.997782585554261,4.996010087832828,6.992773245133616,6.992568310801308,128,472
./spectrograms/20_song\image25.png,6.980156848683866,4.973883419398913,4.993718218109998,4.995282419817364,4.983952497272902,6.978595769460809,6.9817179279069235,128,472
./spectrograms/20_song\image26.png,6.967533264997522,4.962027469918978,4.983895816524446,4.985558837514688,4.984432348055555,6.955830241928556,6.979236288066489,128,472
./spectrograms/20_song\image27.png,6.988508969036502,4.97520948018871,4.994800001218758,4.996391603048712,4.992200021753108,6.988468359148598,6.988549578924404,128,472
./spectrograms/20_song\image28.png,6.986431498669593,4.976817781036239,4.9918405856817705,4.994416389886057,4.990576009756163,6.987186360904899,6.985676636434287,128,472
./spectrograms/20_song\image29.png,6.984552566242415,4.976433513281449,4.988540392744889,4.995815930042597,4.995004150203283,6.985166755030146,6.983938377454683,128,472
./spectrograms/20_song\image3.png,6.992527878552972,4.989089441445125,4.995014846539411,4.997198697762176,4.994613735579424,6.992907313922048,6.992148443183895,128,472
./spectrograms/20_song\image30.png,6.975271644343036,4.93748661405806,4.989980377888476,4.995931145473137,4.993584184056594,6.9756090980403345,6.974934190645737,128,472
./spectrograms/20_song\image31.png,6.97243775925315,4.9598524015612835,4.976452595212466,4.988626931088338,4.985718723561042,6.968374034983136,6.9765014835231645,128,472
./spectrograms/20_song\image32.png,6.984345377495213,4.9818357810974465,4.984007086194587,4.995202285311825,4.992692007107325,6.985752557913772,6.982938197076655,128,472
./spectrograms/20_song\image33.png,6.9806854177551525,4.9775865878326675,4.990230701647645,4.994049276475536,4.976380979093031,6.981135770059318,6.9802350654509855,128,472
./spectrograms/20_song\image34.png,6.988118559352763,4.990178869628227,4.996740239478613,4.997719135663962,4.98491620487721,6.98775739208135,6.988479726624177,128,472
./spectrograms/20_song\image35.png,6.976564536268536,4.975824465990393,4.987849464909386,4.995384262011758,4.988405979799161,6.977610136424222,6.97551893611285,128,472
./spectrograms/20_song\image36.png,6.9876419005564605,4.975549704424459,4.992492016247281,4.996935706239005,4.994385184652081,6.987824594941982,6.98745920617094,128,472
./spectrograms/20_song\image37.png,6.991834437943394,4.991147204012436,4.993548420144095,4.997355847476188,4.995519895202394,6.992158621323233,6.991510254563556,128,472
./spectrograms/20_song\image38.png,6.977231113388642,4.990755002737166,4.992178182057866,4.995382374645819,4.973226473641819,6.977047078440827,6.9774151483364575,128,472
./spectrograms/20_song\image39.png,6.993344664871132,4.992294639345161,4.993637299110502,4.998124180111275,4.996201343759718,6.993209651343711,6.993479678398555,128,472
./spectrograms/20_song\image4.png,6.993925284292461,4.991390411223532,4.995499436117023,4.998262116275675,4.995531520751706,6.993263339482892,6.994587229102031,128,472
./spectrograms/20_song\image40.png,6.986717472600933,4.976587145632622,4.989238770875495,4.9945246063609785,4.992954515793273,6.985889874025613,6.987545071176253,128,472
./spectrograms/20_song\image41.png,6.981783603974645,4.988194636492424,4.992596421429364,4.993435606535443,4.988323677734592,6.979085494392803,6.984481713556486,128,472
./spectrograms/20_song\image42.png,6.965190360016996,4.913478241593096,4.984768758154683,4.989353519356697,4.980968538785259,6.963255799220551,6.96712492081344,128,472
./spectrograms/20_song\image43.png,6.826133159044855,4.962783821413723,4.888873579230746,4.75542941083332,4.633359986734152,6.6664100367915236,6.985856281298187,128,472
./spectrograms/20_song\image44.png,6.975935868995433,4.963284635002166,4.98455921245231,4.9926896513395995,4.991387320172492,6.975684730170791,6.976187007820076,128,472
./spectrograms/20_song\image45.png,6.973498610991967,4.970048868704826,4.984927022539452,4.989126641162632,4.979624429515643,6.965242535663663,6.981754686320273,128,472
./spectrograms/20_song\image46.png,6.987173736697152,4.974527941721878,4.991817618589989,4.9954099504909095,4.993968917455816,6.987330335926302,6.987017137468001,128,472
./spectrograms/20_song\image47.png,6.97481290680684,4.98652151390373,4.992568463536669,4.992253964727275,4.961565063993062,6.9689518561217,6.980673957491981,128,472
./spectrograms/20_song\image48.png,6.992589942617995,4.992962088898871,4.995132190420109,4.997731147357898,4.9959423162118375,6.993221748736128,6.9919581364998615,128,472
./spectrograms/20_song\image49.png,6.984416582436403,4.976794889271189,4.991587601765161,4.994116167187701,4.991992440145641,6.983371233742685,6.9854619311301205,128,472
./spectrograms/20_song\image5.png,6.993500735163575,4.990628215348127,4.99559004796515,4.998470678537821,4.996466122202867,6.99347451200796,6.993526958319192,128,472
